Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VHT,Vanguard Healthcare ETF,Equity,"$7,231,396,102.00",-26.82%,"332,463",$139.96,-4.14%,No,No,-6.69%,-25.98%,-16.51%,6.60%,8.43%,"-$59,169,358.37","-$46,247,889.32","-$179,968,389.32","-$379,881,480.76","$1,415,165,703.26","$2,260,196,699.17",Health & Biotech Equities,2004-01-30,0.10%,Vanguard,$4.07,2020-03-10,$0.45,2.77%,25.40,0.94,384,44.04%,35%,15%,1099,$141.84,$196.54,$136.72,$144.60,31.93,A+,A,A+,A-,B+,A,A+,5.21,59.25%,43.40%,19.61,0.01%,13.55%
XLI,Industrial Select Sector SPDR Fund,Equity,"$6,214,889,948.00",-40.14%,"17,575,544",$48.77,-5.12%,No,No,-12.60%,-39.95%,-32.17%,-20.55%,-5.91%,"$263,309,253.50","$99,746,847.00","-$1,415,985,083.50","-$415,455,128.50","-$2,195,075,503.50","-$712,042,347.50",Industrials Equities,1998-12-16,0.13%,N/A,$1.58,2019-12-20,$0.40,3.08%,19.07,1.16,72,42.50%,35%,15%,1099,$46.86,$85.03,$47.38,$50.50,25.86,A,A+,A,B,A-,A,B,5.97,64.58%,63.25%,166.45,33.22%,1.92%
IBB,iShares Nasdaq Biotechnology ETF,Equity,"$6,049,143,402.00",-19.09%,"3,752,429",$97.50,-0.55%,No,No,3.29%,-18.64%,-9.69%,1.57%,-19.49%,"-$149,059,835.00","$43,236,938.00","$44,562,013.00","-$1,444,851,222.50","$16,971,669,715.00","$17,900,413,640.50",Health & Biotech Equities,2001-02-05,0.47%,N/A,$0.21,2019-12-16,$0.06,0.21%,24.40,1.38,212,54.09%,35%,15%,1099,$91.53,$126.36,$94.51,$100.14,38.23,B+,A,B,A,C+,C+,A,4.36,30.57%,25.67%,22.33,0.11%,33.53%
FDN,First Trust Dow Jones Internet Index,Equity,"$6,044,611,086.00",-19.70%,"477,221",$111.72,0.21%,No,No,4.04%,-23.74%,-19.02%,28.62%,68.91%,"-$269,417,781.00","-$80,310,177.00","-$157,083,055.50","-$829,427,395.50","$1,239,147,699.50","$1,869,742,274.73",Large Cap Growth Equities,2006-06-23,0.52%,N/A,$0.00,2011-12-21,$0.01,0.00%,30.97,1.15,42,53.58%,35%,15%,1099,$102.07,$151.31,$108.48,$114.49,35.85,B+,A,B,A+,B+,C,B,5.63,54.39%,53.04%,16.76,8.88%,3.33%
XLC,Communication Services Select Sector SPDR Fund,Equity,"$6,008,185,412.00",-24.82%,"5,489,313",$40.32,0.25%,No,No,-1.61%,-25.66%,-13.57%,N/A,N/A,"$1,002,635,361.00","$392,405,574.50","$516,879,463.50","$1,735,658,772.50","$7,024,149,719.00","$7,024,149,719.00",Large Cap Growth Equities,2018-06-18,0.13%,N/A,$0.44,2019-12-20,$0.12,1.08%,20.90,0.92,27,77.17%,39%,20%,1099,$37.81,$56.21,$39.18,$41.32,33.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5,33.96%,30.32%,17.07,0.00%,0.60%
XLE,Energy Select Sector SPDR Fund,Equity,"$5,320,271,817.00",-60.74%,"26,256,860",$23.57,-8.86%,No,No,-15.25%,-54.36%,-61.08%,-60.68%,-62.71%,"$1,692,049,997.00","$958,753,227.50","$1,741,652,092.50","$204,864,334.00","-$2,004,391,110.00","$2,924,341,099.50",Energy Equities,1998-12-16,0.13%,N/A,$5.23,2019-12-30,$3.58,20.27%,19.73,1.20,28,80.28%,35%,15%,1099,$18.71,$55.04,$22.72,$24.86,22.39,A,A+,A,B,A,A-,B,5.8,67.46%,58.35%,439.7,0.00%,0.13%
VFH,Vanguard Financials ETF,Equity,"$4,358,763,146.00",-43.52%,"880,489",$42.80,-5.71%,No,No,-11.61%,-41.85%,-30.80%,-23.44%,-5.69%,"-$332,966,163.76","-$122,827,254.80","-$385,286,004.80","-$504,693,077.68","$481,153,479.18","$2,799,512,016.34",Financials Equities,2004-01-30,0.10%,Vanguard,$2.02,2020-03-10,$0.37,4.44%,14.00,1.12,423,43.17%,35%,15%,1099,$39.91,$76.81,$41.72,$44.49,28.63,A+,A-,A,B,A-,B+,A+,3.86,18.06%,18.10%,24.68,6.97%,0.27%
VDC,Vanguard Consumer Staples ETF,Equity,"$4,064,517,750.00",-23.60%,"235,790",$122.65,-3.10%,No,No,-7.53%,-23.27%,-11.92%,-6.37%,10.26%,"-$168,102,787.92","$27,654,130.24","-$212,462,369.76","$243,928,991.48","$1,199,424,957.49","$2,002,814,751.88",Consumer Staples Equities,2004-01-30,0.10%,Vanguard,$4.56,2020-03-10,$0.62,3.60%,26.10,0.60,93,66.36%,35%,15%,1099,$124.88,$165.43,$119.65,$126.70,33.96,A+,A-,A,B+,A+,A+,A-,6.61,69.33%,80.02%,62.95,12.32%,16.79%
IYW,iShares U.S. Technology ETF,Equity,"$3,702,678,430.00",-22.01%,"197,077",$181.40,-0.29%,No,No,-0.17%,-24.85%,-4.03%,38.75%,76.54%,"-$71,444,179.00","$1,522,350.00","-$59,119,755.00","-$218,644,007.50","-$756,357,864.00","-$1,160,620,582.00",Technology Equities,2000-05-19,0.42%,N/A,$1.67,2019-12-16,$0.37,0.92%,24.88,1.19,156,66.29%,35%,15%,1099,$171.80,$251.24,$176.03,$186.00,36.43,A-,A,A-,C,A,B+,A,6.44,81.59%,75.67%,20.75,0.72%,5.76%
SCHH,Schwab US REIT ETF,Real Estate,"$3,642,406,512.00",-41.10%,"1,351,682",$27.07,-3.39%,No,No,-12.45%,-43.42%,-36.69%,-26.95%,-25.66%,"$66,594,168.00","-$56,206,786.50","$7,978,535.00","$657,808,658.50","$2,571,897,737.50","$4,240,969,540.00",Real Estate,2011-01-13,0.07%,Charles Schwab,$1.32,2019-12-12,$0.56,4.68%,31.89,0.55,94,45.68%,35%,15%,1099,$25.78,$51.27,$26.32,$27.80,25.78,A,A-,A+,B+,A-,B-,A-,4.32,59.54%,24.89%,94.81,0.00%,13.45%
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Real Estate,"$3,557,606,792.00",-37.77%,"785,792",$36.77,-1.24%,No,No,-10.43%,-35.60%,-32.21%,-19.13%,-17.44%,"-$109,545,348.30","$9,566,085.40","-$45,833,479.73","-$22,828,853.52","$1,642,530,788.91","$3,033,462,847.65",Global Real Estate,2010-11-01,0.12%,Vanguard,$4.48,2019-12-18,$3.65,12.08%,11.30,0.63,600,20.13%,35%,15%,1099,$34.05,$63.80,$36.19,$37.39,15.30,A+,A-,A,A,B,A,A+,4.73,31.44%,34.45%,82.58,1.52%,17.22%
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"$3,439,198,781.00",-35.94%,"22,463,438",$27.07,9.77%,No,No,1.46%,-39.72%,-16.94%,-26.26%,20.28%,"$138,202,421.50","$81,558,462.00","$158,892,286.50","$89,151,101.50","-$683,925,670.00","$2,582,703,303.90",Materials,2009-11-10,0.54%,N/A,$0.16,2019-12-23,$0.16,0.65%,33.19,-0.13,76,44.09%,35%,15%,1099,$21.24,$47.23,N/A,N/A,39.90,B,A,B+,C,C,A-,B+,4.98,23.66%,38.99%,542.56,5.57%,0.00%
IHI,iShares U.S. Medical Devices ETF,Equity,"$3,422,453,360.00",-30.01%,"328,889",$185.00,-5.85%,No,No,-8.60%,-30.14%,-18.47%,24.00%,57.29%,"-$10,283,341.50","-$97,333,105.00","-$171,197,160.00","$693,058,207.50","$2,661,523,605.00","$2,755,309,972.50",Health & Biotech Equities,2006-05-05,0.43%,N/A,$0.88,2019-12-30,$0.04,0.45%,44.57,0.92,57,72.24%,35%,15%,1099,$187.65,$272.55,$180.07,$193.10,28.93,C+,B+,B+,C+,B+,B-,B-,5.06,52.08%,40.43%,22.7,0.00%,12.09%
XBI,SPDR S&P Biotech ETF,Equity,"$3,167,365,501.00",-27.90%,"6,884,099",$68.57,-0.80%,No,No,3.97%,-26.99%,-21.95%,0.68%,-10.96%,"-$179,194,399.00","-$66,783,615.75","-$72,665,019.50","-$542,462,125.00","-$144,504,834.00","$1,089,694,767.00",Health & Biotech Equities,2006-02-06,0.35%,N/A,$0.00,2019-12-20,$0.00,0.01%,17.99,1.68,123,23.25%,35%,15%,1099,$60.65,$101.53,$66.31,$70.59,34.64,B-,A,A-,B,C,C,B+,2.46,14.72%,5.30%,26.59,0.27%,19.78%
VPU,Vanguard Utilities ETF,Equity,"$2,999,358,549.00",-30.54%,"303,879",$98.62,-5.35%,No,No,-11.24%,-35.07%,-22.04%,-4.75%,18.25%,"-$57,298,204.40","-$18,647,703.88","-$203,784,703.88","$344,011,174.34","$1,215,589,729.77","$1,393,877,822.06",Utilities Equities,2004-01-30,0.10%,Vanguard,$4.91,2020-03-10,$0.88,4.69%,23.10,0.19,67,55.04%,35%,15%,1099,$102.10,$160.80,$94.98,$103.36,30.02,A+,A,A,A-,A-,A,A-,7.44,72.22%,92.05%,2613.36,59.83%,6.80%
AMLP,Alerian MLP ETF,Equity,"$2,822,694,168.00",-62.30%,"34,957,200",$3.13,-12.08%,No,No,-12.57%,-58.04%,-66.01%,-68.10%,-71.19%,"-$289,313,184.00","$61,269,178.00","-$18,234,491.50","-$225,373,078.50","$268,843,816.50","$4,169,372,280.09",MLPs,2010-08-24,0.85%,N/A,$0.77,2020-02-13,$0.19,21.75%,10.57,1.03,22,80.89%,35%,15%,1099,$2.02,$8.19,$2.99,$3.36,26.33,A,A+,A-,C+,A-,B+,B+,1.8,4.86%,2.37%,444.66,0.00%,0.00%
IGV,iShares Expanded Tech-Software Sector ET,Equity,"$2,808,586,660.00",-18.27%,"831,765",$190.47,0.22%,No,No,2.47%,-23.90%,-8.55%,52.79%,96.80%,"$349,030,601.50","$90,548,270.00","-$49,442,700.00","$181,789,907.50","$1,364,709,843.00","$754,817,979.50",Technology Equities,2001-07-10,0.46%,N/A,$0.05,2019-06-17,$0.05,0.02%,40.71,1.14,103,58.72%,35%,15%,1099,$174.75,$259.01,$185.63,$195.34,37.28,B+,A-,B+,B,A-,C+,B+,7.21,94.62%,88.98%,13.87,0.00%,5.84%
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$2,632,633,561.00",-42.12%,"1,259,976",$19.16,-0.47%,No,No,-4.41%,-36.54%,-38.48%,-28.58%,-25.89%,"-$713,204,068.50","-$326,558,284.50","-$576,070,363.50","-$956,531,252.00","$8,848,440.00","$1,730,546,252.78",Commodity Producers Equities,2011-09-16,0.46%,N/A,$1.06,2020-03-20,$0.26,5.38%,21.41,0.90,116,35.02%,35%,15%,1099,$16.74,$32.20,$18.82,$19.53,27.56,A,A,A-,A-,A-,B,A,5.22,38.46%,43.72%,518.2,12.13%,4.63%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$2,494,246,097.00",-37.86%,"9,199,314",$57.84,-5.06%,No,No,-14.26%,-41.50%,-30.98%,-17.78%,-15.07%,"-$252,315,910.00","-$183,075,595.00","-$382,059,843.50","-$1,050,879,205.00","-$1,144,020,293.00","-$1,999,257,673.00",Real Estate,2000-06-12,0.42%,Fidelity,$2.84,2019-12-16,$0.89,4.65%,33.81,0.56,114,43.34%,35%,15%,1099,$56.81,$106.26,$55.85,$60.24,26.53,A,A+,B,B-,A,B+,A,4.45,68.79%,27.44%,115.15,0.69%,9.05%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$2,479,831,583.00",-24.04%,"689,232",$54.79,-0.94%,No,No,-1.99%,-26.65%,-5.45%,39.18%,77.47%,"$134,039,127.00","-$79,609,548.00","-$139,355,740.00","$519,409,253.50","$1,468,494,677.50","$1,844,709,048.00",Technology Equities,2013-10-21,0.08%,Fidelity,$0.85,2020-03-20,$0.28,1.53%,24.93,1.20,319,59.97%,35%,15%,1099,$52.44,$77.68,$53.13,$56.31,35.37,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.17,71.67%,69.37%,22.31,0.77%,5.21%
IXN,iShares Global Tech ETF,Equity,"$2,425,084,740.00",-23.86%,"136,794",$160.27,-0.55%,No,No,-1.55%,-25.43%,-4.17%,33.94%,70.43%,"-$134,696,770.50","-$17,400,810.00","-$15,395,820.00","-$241,867,758.00","$1,025,270,768.50","$985,659,338.50",Technology Equities,2001-11-12,0.46%,N/A,$2.23,2019-12-16,$1.15,1.38%,22.90,1.15,119,56.20%,35%,15%,1099,$153.29,$225.40,$156.39,$163.68,36.07,B+,B+,B+,C+,A,B,A-,6.54,86.69%,77.78%,31.46,0.78%,5.37%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$2,416,370,866.00",-34.16%,"7,903,368",$25.46,-6.26%,No,No,-14.16%,-38.46%,-27.06%,-10.21%,N/A,"-$83,735,085.50","-$39,655,083.00","$25,328,877.00","$413,094,197.50","$704,039,876.50","$3,255,495,490.50",Real Estate,2015-10-07,0.13%,N/A,$1.18,2019-12-20,$0.41,4.34%,37.95,0.59,32,65.30%,39%,20%,1099,$25.93,$43.88,$24.59,$26.63,28.92,N/A,N/A,A,N/A,N/A,N/A,C+,6.22,99.42%,70.56%,139.31,0.00%,10.44%
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$2,405,266,080.00",-47.09%,"365,844",$117.51,-2.68%,No,No,-12.42%,-48.18%,-38.74%,-18.16%,-0.55%,"-$783,993,067.00","-$474,997,360.00","-$717,646,805.00","-$857,713,893.50","$394,650,074.50","$2,169,458,943.00",Industrials Equities,2006-05-05,0.42%,N/A,$3.41,2019-12-30,$0.57,2.82%,21.25,1.03,34,73.51%,35%,15%,1099,$102.09,$242.69,$112.98,$121.52,21.26,B,B+,B+,A,A,B-,C+,4.32,27.08%,25.00%,93.21,75.03%,0.21%
IGF,iShares Global Infrastructure ETF,Equity,"$2,293,737,228.00",-39.76%,"537,431",$28.86,-4.44%,No,No,-7.65%,-40.14%,-32.87%,-23.95%,-20.15%,"$349,940,913.00","$66,082,940.00","$207,826,086.00","$795,059,929.00","$2,055,734,797.00","$2,321,967,467.00",Large Cap Blend Equities,2007-12-10,0.46%,N/A,$1.57,2019-12-16,$0.78,5.21%,22.30,0.55,75,42.12%,35%,15%,1099,$26.44,$52.39,$28.00,$29.90,23.64,A-,A-,B,A-,B+,A-,A,7.02,81.55%,86.50%,977.01,31.45%,2.65%
XLB,Materials Select Sector SPDR ETF,Equity,"$2,270,537,457.00",-37.56%,"9,950,542",$38.35,-5.73%,No,No,-7.34%,-34.60%,-28.24%,-21.90%,-14.23%,"-$72,297,663.00","-$210,207,423.00","-$362,842,155.00","-$909,337,742.50","-$429,022,246.00","$164,378,472.76",Materials,1998-12-16,0.13%,N/A,$1.21,2019-12-20,$0.33,2.98%,20.38,1.16,29,69.12%,35%,15%,1099,$36.60,$61.02,$37.53,$39.81,29.44,A,A+,A,B+,A+,B+,B-,5.96,60.29%,63.00%,860.88,3.14%,1.84%
KWEB,KraneShares CSI China Internet ETF,Equity,"$2,123,460,258.00",-13.93%,"2,989,760",$41.90,1.18%,No,No,3.79%,-15.63%,-6.53%,4.87%,33.90%,"$643,429,516.50","-$67,927,252.50","$31,297,880.00","$376,134,742.50","$2,266,830,673.00","$2,406,874,066.50",China Equities,2013-07-31,0.76%,N/A,$0.04,2019-12-27,$0.04,0.10%,23.76,1.45,46,62.08%,35%,15%,1099,$38.95,$53.55,$40.79,$42.61,38.51,B+,B+,B,B-,A-,B-,N/A,2.89,5.38%,7.59%,19.68,0.00%,0.90%
VIS,Vanguard Industrial ETF,Equity,"$1,981,475,712.00",-39.97%,"173,585",$91.89,-4.02%,No,No,-11.63%,-39.75%,-31.19%,-21.06%,-7.38%,"-$325,008,455.98","-$6,537,214.40","-$242,908,714.40","-$477,383,322.77","-$188,255,876.64","$293,324,431.79",Industrials Equities,2004-09-23,0.10%,Vanguard,$3.25,2020-03-10,$0.66,3.39%,21.60,1.18,352,33.13%,35%,15%,1099,$86.90,$159.95,$89.38,$94.89,25.83,A+,A,A,A-,A-,A,A+,5.75,56.25%,56.88%,173.31,27.77%,2.53%
SKYY,First Trust ISE Cloud Computing Index Fund,Equity,"$1,893,648,167.00",-18.68%,"338,737",$49.09,0.20%,No,No,6.72%,-23.24%,-13.81%,30.64%,68.73%,"$43,125,377.00","$4,256,987.00","-$14,063,117.50","$98,688,760.50","$893,085,157.00","$1,089,603,309.13",Technology Equities,2011-07-05,0.60%,N/A,$0.33,2019-12-13,$0.05,0.67%,30.54,1.03,62,40.61%,35%,15%,1099,$43.78,$65.70,$47.53,$50.32,36.32,B-,B,B,A-,B+,C,B,6.25,73.94%,71.32%,19.58,4.44%,8.40%
SOXX,iShares PHLX Semiconductor ETF,Equity,"$1,863,706,260.00",-27.13%,"789,160",$182.97,3.57%,No,No,3.06%,-25.20%,-2.69%,40.06%,96.75%,"$229,382,400.50","$161,902,885.00","$138,683,050.00","$904,891,520.00","$933,727,378.50","$1,001,246,904.00",Technology Equities,2001-07-10,0.46%,N/A,$3.10,2019-12-16,$0.86,1.75%,23.10,1.44,31,62.43%,35%,15%,1099,$165.80,$259.50,$176.22,$187.82,38.50,B+,A,B+,A,C+,A-,B-,4.58,24.36%,31.82%,69.45,0.00%,5.97%
VCR,Vanguard Consumer Discretionary ETF,Equity,"$1,856,720,972.00",-31.25%,"123,706",$129.97,0.88%,No,No,-1.74%,-32.81%,-22.06%,-0.42%,12.03%,"-$338,011,685.51","-$207,909,000.00","-$349,818,842.25","-$274,171,945.58","-$154,334,801.80","-$121,811,874.94",Consumer Discretionary Equities,2004-01-30,0.10%,Vanguard,$2.59,2020-03-10,$0.37,2.00%,24.90,1.10,294,62.14%,35%,15%,1099,$116.17,$203.72,$126.29,$132.57,29.91,A+,A-,A+,A-,A,A-,A+,4.59,37.61%,32.04%,53.87,26.12%,2.44%
QTEC,First Trust NASDAQ 100 Technology,Equity,"$1,826,377,054.00",-25.22%,"325,953",$74.85,1.15%,No,No,1.15%,-25.62%,-8.36%,28.65%,74.78%,"-$362,173,358.00","-$296,629,804.00","-$373,031,542.00","-$335,581,189.00","-$490,717,945.50","$746,893,421.00",Technology Equities,2006-04-25,0.57%,N/A,$0.68,2019-12-13,$0.22,0.92%,25.89,1.30,42,29.83%,35%,15%,1099,$68.40,$105.16,$72.76,$76.64,36.33,B,B+,B-,B,A-,B+,B,5.29,39.94%,45.02%,33.73,0.00%,5.56%
IYH,iShares U.S. Healthcare ETF,Equity,"$1,691,654,520.00",-26.46%,"86,490",$158.63,-4.73%,No,No,-8.04%,-25.36%,-16.31%,5.90%,7.34%,"$97,898,761.00","$31,270,840.00","$22,067,885.00","-$278,566,252.00","-$139,510,242.00","-$618,631,310.50",Health & Biotech Equities,2000-06-12,0.43%,N/A,$2.45,2019-12-16,$0.64,1.47%,28.46,0.91,120,47.41%,35%,15%,1099,$161.59,$220.62,$154.74,$163.94,31.67,A-,B+,B,B+,B+,B+,A,5.28,63.02%,44.88%,19.49,0.00%,14.01%
XT,iShares Exponential Technologies ETF,Equity,"$1,685,767,902.00",-28.23%,"366,108",$30.69,-1.41%,No,No,-3.37%,-28.61%,-17.22%,9.18%,N/A,"-$383,921,902.00","-$47,817,559.50","-$47,817,559.50","-$344,636,594.50","$699,015,101.00","$985,417,445.00",Large Cap Growth Equities,2015-03-19,0.47%,N/A,$0.66,2019-12-16,$0.30,2.10%,21.91,1.08,200,7.66%,35%,15%,1099,$28.88,$45.49,$30.09,$31.40,30.67,N/A,N/A,B+,N/A,N/A,N/A,N/A,5.58,51.27%,51.72%,46.93,3.96%,11.15%
IXJ,iShares Global Healthcare ETF,Equity,"$1,650,734,770.00",-25.09%,"169,442",$51.50,-3.83%,No,No,-6.52%,-24.07%,-13.41%,6.20%,1.94%,"$77,475,023.00","$19,779,612.00","$66,740,024.00","-$144,826,642.00","$1,770,945,346.00","$1,662,312,925.50",Health & Biotech Equities,2001-11-13,0.46%,N/A,$0.98,2019-12-16,$0.48,1.81%,27.75,0.81,105,38.63%,35%,15%,1099,$52.00,$70.70,$50.42,$53.23,32.04,A-,B+,B,B,A,B,A,5.85,81.51%,59.80%,22.32,1.36%,13.70%
