Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLU,Utilities Select Sector SPDR Fund,Equity,"$11,824,245,622.00",6.14%,"14,537,470",$68.59,-0.32%,No,No,-0.57%,6.51%,27.59%,54.93%,74.21%,"-$24,768,106.50","-$85,164,385.50","$156,432,999.00","$856,953,727.50","$2,216,519,854.50","$280,323,242.61",Utilities Equities,1998-12-16,0.13%,N/A,$1.91,2019-12-20,$0.50,2.78%,20.55,0.16,29,61.64%,35%,15%,1099,$64.46,$70.63,$68.42,$68.92,68.88,A,A+,A,B+,A,A,B-,7.49,75.00%,91.80%,2783.72,68.06%,5.88%
VHT,Vanguard Healthcare ETF,Equity,"$10,256,431,041.00",1.29%,"223,487",$194.21,-0.86%,No,No,3.88%,0.30%,17.61%,54.19%,62.73%,"$139,947,540.24","$42,838,250.00","$115,971,540.24","-$15,977,075.76","$1,726,333,738.71","$2,770,121,847.78",Health & Biotech Equities,2004-01-30,0.10%,Vanguard,$3.62,2019-12-16,$0.72,1.85%,25.40,0.94,384,43.88%,35%,15%,1099,$188.29,$199.04,$193.45,$195.43,56.14,A+,A,A+,A-,B+,A,A+,5.18,60.00%,42.77%,19.1,0.01%,13.82%
XLE,Energy Select Sector SPDR Fund,Equity,"$9,542,309,320.00",-10.09%,"14,793,731",$53.98,-0.70%,No,No,1.01%,-9.75%,-9.76%,-16.54%,-19.62%,"-$138,157,303.00","$38,219,137.00","-$615,804,614.00","-$1,476,093,549.50","-$3,875,749,027.50","$1,444,518,956.00",Energy Equities,1998-12-16,0.13%,N/A,$3.44,2019-12-30,$1.79,6.27%,19.73,1.20,29,75.45%,35%,15%,1099,$51.71,$61.37,$53.72,$54.23,36.26,A,A+,A,B,A,A-,B,5.9,70.59%,60.86%,437.48,0.00%,0.14%
FDN,First Trust Dow Jones Internet Index,Equity,"$8,369,041,986.00",7.47%,"314,778",$149.51,-0.44%,No,No,3.43%,3.77%,12.28%,75.03%,141.18%,"-$66,719,209.00","-$36,899,416.00","-$67,073,158.50","-$559,922,234.50","$1,384,054,600.50","$2,199,305,984.23",Large Cap Growth Equities,2006-06-23,0.52%,N/A,$0.00,2011-12-21,$0.01,0.00%,30.97,1.15,42,51.37%,35%,15%,1099,$144.04,$150.57,N/A,N/A,62.50,B+,A,B,A+,B+,C,B,5.28,39.94%,44.84%,15.08,8.97%,3.47%
VFH,Vanguard Financials ETF,Equity,"$8,092,662,742.00",0.72%,"409,333",$76.83,-0.35%,No,No,3.20%,0.97%,21.01%,35.52%,73.34%,"$75,383,591.04","-$3,645,482.40","$79,181,091.04","$60,907,177.12","$1,272,021,600.16","$3,276,941,271.14",Financials Equities,2004-01-30,0.10%,Vanguard,$1.66,2019-12-16,$0.46,2.14%,14.00,1.12,423,42.45%,35%,15%,1099,$74.43,$77.68,$76.59,$77.05,55.72,A+,A-,A,B,A-,B+,A+,3.87,18.94%,17.98%,24.6,6.94%,0.27%
IBB,iShares Nasdaq Biotechnology ETF,Equity,"$7,433,789,890.00",0.85%,"2,778,425",$121.53,-0.77%,No,No,6.78%,0.90%,13.66%,29.45%,16.55%,"-$79,866,229.00","$64,882,910.00","-$198,413,994.00","-$1,310,641,266.50","$16,704,573,097.50","$18,211,891,246.50",Health & Biotech Equities,2001-02-05,0.47%,N/A,$0.21,2019-12-16,$0.06,0.17%,24.40,1.38,214,48.69%,35%,15%,1099,$114.15,$124.35,$120.94,$122.17,56.48,B+,A,B,A,C+,C+,A,4.16,27.17%,21.88%,22.23,0.12%,34.68%
XLC,Communication Services Select Sector SPDR Fund,Equity,"$7,411,110,133.00",4.16%,"3,138,746",$55.86,-0.07%,No,No,3.62%,1.27%,24.05%,N/A,N/A,"$303,374,733.00","$36,594,216.00","$145,963,794.00","$2,152,141,494.50","$6,324,889,091.00","$6,324,889,091.00",Large Cap Growth Equities,2018-06-18,0.13%,N/A,$0.44,2019-12-20,$0.12,0.79%,20.90,0.92,27,73.97%,39%,20%,1099,$54.15,$56.94,$55.59,$56.10,58.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.27,40.38%,23.91%,20.42,0.00%,0.63%
AMLP,Alerian MLP ETF,Equity,"$7,185,827,383.00",-5.76%,"28,533,812",$8.01,-0.74%,No,No,-0.12%,-8.04%,-10.13%,-23.84%,-31.14%,"-$346,379,204.50","$6,304,642.50","-$167,192,296.50","-$258,613,221.50","$685,234,637.00","$4,183,773,707.59",MLPs,2010-08-24,0.85%,N/A,$0.77,2019-11-14,$0.20,9.58%,10.57,1.03,21,75.85%,35%,15%,1099,$7.78,$9.04,$7.97,$8.06,38.97,A,A+,A-,C+,A-,B+,B+,1.88,5.59%,2.48%,442.29,0.00%,0.00%
SCHH,Schwab US REIT ETF,Real Estate,"$6,225,011,420.00",2.07%,"760,876",$46.91,-0.17%,No,No,1.67%,2.99%,11.18%,25.37%,31.53%,"-$54,793,484.50","-$5,027,075.00","-$43,066,818.50","$634,137,445.00","$2,501,995,586.00","$4,076,492,855.50",Real Estate,2011-01-13,0.07%,Charles Schwab,$1.32,2019-12-12,$0.56,2.82%,31.89,0.55,94,44.95%,35%,15%,1099,$45.68,$47.60,$46.75,$47.07,56.20,A,A-,A+,B+,A-,B-,A-,4.56,58.82%,31.33%,96.74,0.00%,15.00%
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$5,814,701,460.00",6.88%,"187,287",$237.35,-0.12%,No,No,4.24%,3.84%,20.43%,69.65%,110.35%,"-$42,632,182.00","$11,915,220.00","-$34,087,240.00","-$328,771,278.00","$1,511,352,213.50","$3,039,105,828.00",Industrials Equities,2006-05-05,0.42%,N/A,$3.41,2019-12-30,$0.57,1.45%,21.25,1.03,34,74.34%,35%,15%,1099,$226.69,$236.09,$236.43,$238.28,61.93,B,B+,B+,A,A,B-,C+,4.36,25.00%,25.38%,91.85,79.01%,0.23%
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Real Estate,"$5,737,185,885.00",-1.78%,"424,205",$58.04,-0.34%,No,No,0.92%,-0.80%,10.24%,32.32%,30.85%,"-$63,903,143.32",$0.00,"$12,256.79","$74,171,828.89","$2,017,952,993.89","$3,302,574,052.63",Global Real Estate,2010-11-01,0.12%,Vanguard,$4.48,2019-12-18,$3.65,7.68%,11.30,0.63,589,19.02%,35%,15%,1099,$57.31,$59.62,$57.85,$58.27,48.74,A+,A-,A,A,B,A,A+,4.82,29.73%,35.64%,81.95,1.46%,17.50%
VDC,Vanguard Consumer Staples ETF,Equity,"$5,702,359,963.00",1.36%,"102,498",$163.40,0.12%,No,No,1.90%,2.12%,21.03%,29.90%,46.96%,"$36,108,879.00","$24,326,250.00","$8,116,879.00","$510,940,038.41","$1,478,571,858.50","$2,050,005,175.40",Consumer Staples Equities,2004-01-30,0.10%,Vanguard,$3.94,2019-12-16,$1.06,2.42%,26.10,0.60,93,65.40%,35%,15%,1099,$160.03,$164.05,$162.83,$163.78,60.42,A+,A-,A,B+,A+,A+,A-,6.68,68.42%,80.85%,62.58,12.40%,16.77%
IYW,iShares U.S. Technology ETF,Equity,"$5,241,150,264.00",8.90%,"99,933",$253.31,-0.75%,No,No,4.58%,4.99%,44.66%,102.63%,158.17%,"$209,781.00","$12,622,445.00","$215,681.00","-$138,891,989.00","-$866,132,194.00","-$1,455,483,122.00",Technology Equities,2000-05-19,0.42%,N/A,$1.67,2019-12-16,$0.37,0.66%,24.88,1.19,157,65.10%,35%,15%,1099,$239.90,$254.37,N/A,N/A,65.50,A-,A,A-,C,A,B+,A,6.33,79.89%,73.11%,20.96,0.71%,5.66%
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$5,067,366,685.00",-6.23%,"647,525",$31.44,-1.47%,No,No,0.58%,-5.33%,2.68%,13.93%,16.16%,"-$127,565,860.50","-$15,663,906.00","-$115,932,140.50","-$324,340,749.00","$897,544,148.00","$2,465,738,060.78",Commodity Producers Equities,2011-09-16,0.46%,N/A,$1.09,2019-12-20,$0.21,3.40%,21.41,0.90,118,34.56%,35%,15%,1099,$30.80,$34.04,$31.35,$31.61,39.65,A,A,A-,A-,A-,B,A,5.35,44.12%,46.22%,502.42,9.82%,5.40%
IHI,iShares U.S. Medical Devices ETF,Equity,"$4,983,370,274.00",1.96%,"197,516",$269.49,-1.52%,No,No,1.85%,0.24%,25.96%,90.07%,139.33%,"-$3,066,460.00","-$228,225.00","-$2,036,915.00","$1,185,493,309.00","$2,489,168,212.50","$2,774,673,354.00",Health & Biotech Equities,2006-05-05,0.43%,N/A,$0.88,2019-12-30,$0.04,0.32%,44.57,0.92,56,71.33%,35%,15%,1099,$266.20,$276.90,$268.07,$271.96,52.94,C+,B+,B+,C+,B+,B-,B-,5.19,60.75%,42.91%,21.25,0.00%,12.46%
VPU,Vanguard Utilities ETF,Equity,"$4,762,735,151.00",5.73%,"148,495",$151.08,-0.34%,No,No,-0.34%,6.33%,26.02%,54.35%,75.79%,"$96,391,769.95","$19,155,223.59","$75,556,909.30","$842,502,486.17","$1,376,559,492.00","$1,315,486,296.41",Utilities Equities,2004-01-30,0.10%,Vanguard,$4.04,2019-12-16,$1.02,2.66%,23.10,0.19,69,53.58%,35%,15%,1099,$142.42,$155.31,$150.74,$151.76,67.95,A+,A,A,A-,A-,A,A-,7.33,69.44%,89.90%,2622.3,60.27%,6.80%
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"$4,693,156,077.00",-4.76%,"13,913,992",$40.25,-1.71%,No,No,-3.11%,-1.59%,28.03%,-3.92%,61.79%,"-$218,909,015.00","-$40,795,473.00","-$231,913,698.00","-$768,755,156.00","-$26,605,015.00","$2,212,552,471.40",Materials,2009-11-10,0.54%,N/A,$0.16,2019-12-23,$0.16,0.40%,33.19,-0.13,68,47.17%,35%,15%,1099,$40.03,$41.81,$39.86,$41.03,49.07,B,A,B+,C,C,A-,B+,4.91,18.75%,37.40%,530.68,4.50%,0.00%
XBI,SPDR S&P Biotech ETF,Equity,"$4,407,091,460.00",0.22%,"5,031,190",$95.32,-0.86%,No,No,6.96%,0.52%,16.26%,45.41%,48.60%,"$73,074,591.75","$178,236,533.00","$67,435,530.75","-$5,713,619.25","$296,212,397.25","$1,684,830,757.75",Health & Biotech Equities,2006-02-06,0.35%,N/A,$0.00,2019-12-20,$0.00,0.02%,17.99,1.68,123,19.27%,35%,15%,1099,$88.80,$98.42,$94.78,$96.00,54.96,B-,A,A-,B,C,C,B+,2.33,14.72%,4.37%,26.16,0.36%,20.83%
XLB,Materials Select Sector SPDR ETF,Equity,"$4,384,405,667.00",-2.17%,"5,996,178",$60.09,-1.43%,No,No,4.27%,0.86%,16.30%,22.66%,33.03%,"$622,222,199.00","$309,021,925.50","$318,326,770.00","-$5,189,338.00","-$25,966,730.50","$923,149,953.26",Materials,1998-12-16,0.13%,N/A,$1.21,2019-12-20,$0.33,1.99%,20.38,1.16,29,65.47%,35%,15%,1099,$58.09,$61.58,$59.79,$60.49,51.33,A,A+,A,B+,A+,B+,B-,6.01,64.71%,64.47%,841.41,2.87%,1.83%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$4,311,879,205.00",3.32%,"6,917,645",$96.17,-0.04%,No,No,1.69%,3.50%,18.03%,37.98%,44.38%,"-$150,202,571.50","-$38,864,729.00","-$186,036,381.50","-$572,920,016.50","-$553,912,959.00","-$2,536,764,334.50",Real Estate,2000-06-12,0.42%,Fidelity,$2.84,2019-12-16,$0.89,2.96%,33.81,0.56,114,37.54%,35%,15%,1099,$93.28,$97.15,$95.94,$96.40,61.16,A,A+,B,B-,A,B+,A,4.58,60.59%,31.65%,114.56,0.69%,10.64%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$3,828,317,834.00",3.28%,"3,892,046",$39.94,0.05%,No,No,1.81%,3.36%,19.18%,43.65%,N/A,"-$12,958,125.50","-$17,815,543.50","$43,693,675.50","$214,016,221.00","$822,238,020.50","$3,326,272,450.50",Real Estate,2015-10-07,0.13%,N/A,$1.18,2019-12-20,$0.41,2.98%,37.95,0.59,32,59.76%,39%,20%,1099,$38.77,$40.38,N/A,N/A,59.76,N/A,N/A,A,N/A,N/A,N/A,C+,6.49,99.41%,76.44%,135.97,0.00%,12.58%
VIS,Vanguard Industrial ETF,Equity,"$3,634,516,423.00",2.30%,"88,906",$157.42,-0.74%,No,No,2.92%,0.90%,17.79%,36.52%,62.65%,"-$58,371,991.58","-$11,608,000.00","-$38,839,241.58","$2,188,391.63","$105,757,587.76","$611,573,896.19",Industrials Equities,2004-09-23,0.10%,Vanguard,$2.59,2019-12-16,$0.68,1.63%,21.60,1.18,352,33.91%,35%,15%,1099,$153.77,$160.00,$157.12,$157.97,54.73,A+,A,A,A-,A-,A,A+,5.83,55.21%,59.01%,172.61,29.43%,2.51%
IGF,iShares Global Infrastructure ETF,Equity,"$3,625,460,627.00",2.25%,"259,157",$48.99,-0.59%,No,No,1.01%,2.13%,18.79%,35.89%,35.84%,"$63,309,719.00",$0.00,"$63,309,719.00","$538,923,756.00","$1,785,408,443.00","$2,097,678,273.00",Large Cap Blend Equities,2007-12-10,0.46%,N/A,$1.57,2019-12-16,$0.78,3.18%,22.30,0.55,75,39.09%,35%,15%,1099,$48.11,$49.49,$48.89,$49.16,59.20,A-,A-,B,A-,B+,A-,A,7.08,88.44%,86.85%,979.71,31.54%,2.66%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$3,621,083,964.00",8.20%,"342,770",$78.42,-0.92%,No,No,4.32%,4.99%,45.98%,107.37%,165.01%,"$193,819,266.00","$30,956,086.00","$164,260,788.50","$667,987,151.50","$1,651,385,935.50","$1,930,878,032.00",Technology Equities,2013-10-21,0.08%,Fidelity,$0.75,2019-12-20,$0.19,0.95%,24.93,1.20,321,58.62%,35%,15%,1099,$74.34,$78.98,$78.08,$78.89,64.56,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.08,69.69%,66.49%,22.1,0.79%,5.22%
IGV,iShares Expanded Tech-Software Sector ET,Equity,"$3,479,362,358.00",10.21%,"559,038",$256.84,-0.14%,No,No,3.29%,5.19%,31.22%,117.76%,179.90%,"$281,283,750.50","$123,854,110.00","$161,214,630.50","$341,770,259.00","$1,341,333,081.00","$677,515,628.50",Technology Equities,2001-07-10,0.46%,N/A,$0.05,2019-06-17,$0.05,0.02%,40.71,1.14,103,56.90%,35%,15%,1099,$243.21,$258.25,$255.29,$258.77,65.46,B+,A-,B+,B,A-,C+,B+,6.78,88.67%,82.49%,13.88,0.00%,6.01%
IXN,iShares Global Tech ETF,Equity,"$3,400,499,975.00",7.13%,"78,524",$225.50,-1.04%,No,No,4.70%,4.08%,44.97%,98.51%,152.58%,"-$164,807,934.50",$0.00,"-$196,709,860.00","-$134,360,772.50","$970,548,308.50","$1,014,427,674.50",Technology Equities,2001-11-12,0.46%,N/A,$2.23,2019-12-16,$1.15,0.99%,22.90,1.15,119,54.84%,35%,15%,1099,$214.78,$227.35,$224.78,$226.69,62.86,B+,B+,B+,C+,A,B,A-,6.6,85.55%,79.44%,30.66,0.77%,5.38%
VCR,Vanguard Consumer Discretionary ETF,Equity,"$3,210,490,547.00",3.73%,"55,941",$196.56,-0.48%,No,No,2.50%,2.74%,21.52%,53.80%,78.42%,"-$3,433,593.26","$14,838,750.00","$777,621.84","$144,854,146.67","$169,915,790.45","$539,014,467.31",Consumer Discretionary Equities,2004-01-30,0.10%,Vanguard,$2.23,2019-12-16,$0.75,1.12%,24.90,1.10,295,56.31%,35%,15%,1099,$188.51,$198.40,$195.88,$197.35,63.87,A+,A-,A+,A-,A,A-,A+,4.96,42.02%,38.24%,44.67,25.72%,2.18%
QTEC,First Trust NASDAQ 100 Technology,Equity,"$3,059,468,262.00",4.84%,"181,835",$104.94,-1.45%,No,No,4.61%,1.78%,36.19%,88.22%,160.75%,"$5,431,638.50","-$5,239,103.50","$10,323,712.50","$125,415,853.50","-$48,937,685.50","$1,101,657,157.50",Technology Equities,2006-04-25,0.57%,N/A,$0.68,2019-12-13,$0.22,0.64%,25.89,1.30,42,26.91%,35%,15%,1099,$101.33,$107.09,$104.59,$105.59,57.71,B,B+,B-,B,A-,B+,B,5.85,62.61%,59.63%,37.99,0.00%,5.88%
VDE,Vanguard Energy ETF,Equity,"$3,026,951,075.00",-11.13%,"493,322",$72.42,-0.88%,No,No,0.77%,-10.42%,-12.06%,-21.41%,-25.54%,"$206,156,750.00","$55,585,250.00","$167,160,000.00","$73,130,238.83","-$84,674,443.92","$1,084,035,004.12",Energy Equities,2004-09-23,0.10%,Vanguard,$2.78,2019-12-16,$0.76,3.77%,14.20,1.24,131,68.94%,35%,15%,1099,$69.29,$83.05,$72.07,$72.76,36.11,A,A-,A,B,A-,A,A,5.51,55.29%,49.88%,441.47,0.00%,0.26%
EMLP,First Trust North American Energy Infrastructure Fund,Equity,"$2,849,722,472.00",0.98%,"714,660",$25.74,-0.43%,No,No,0.16%,0.59%,14.16%,14.43%,12.70%,"$15,367,035.00","$10,274,313.00","$9,008,400.50","$410,670,691.50","$1,192,197,079.00","$1,757,969,302.50",Large Cap Blend Equities,2012-06-20,0.95%,N/A,$0.94,2019-12-13,$0.26,3.66%,15.14,0.62,47,52.86%,35%,15%,1099,$25.61,$26.22,$25.66,$25.85,53.87,B+,A-,C+,B,B+,C+,A+,5.53,57.34%,50.53%,1442.43,26.85%,6.05%
XT,iShares Exponential Technologies ETF,Equity,"$2,783,539,131.00",2.62%,"116,038",$43.88,-1.10%,No,No,3.27%,0.78%,23.91%,61.79%,N/A,"-$28,099,279.50",$0.00,"-$28,099,279.50","-$5,462,430.50","$1,110,101,659.50","$1,341,240,067.50",Large Cap Growth Equities,2015-03-19,0.47%,N/A,$0.66,2019-12-16,$0.30,1.49%,21.91,1.08,202,10.17%,35%,15%,1099,$42.72,$44.71,$43.79,$44.06,57.08,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.04,68.27%,65.47%,44.48,4.15%,11.04%
KWEB,KraneShares CSI China Internet ETF,Equity,"$2,658,720,291.00",4.99%,"1,909,849",$51.11,-1.10%,No,No,6.28%,-3.69%,19.34%,39.19%,62.79%,"$661,350,897.00","$45,752,104.50","$467,072,509.00","$477,477,552.50","$2,316,178,112.50","$2,340,373,947.00",China Equities,2013-07-31,0.76%,N/A,$0.04,2019-12-27,$0.04,0.08%,23.76,1.45,46,59.75%,35%,15%,1099,$47.20,$55.45,$50.81,$51.50,53.68,B+,B+,B,B-,A-,B-,N/A,2.84,5.10%,7.12%,23.15,0.00%,0.88%
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Equity,"$2,574,540,306.00",-18.95%,"28,542,818",$19.21,-1.79%,No,No,0.26%,-17.27%,-32.39%,-50.60%,-60.94%,"$412,250,896.00","$150,428,467.00","$600,233,899.50","$1,367,506,914.00","$2,412,989,914.50","$2,957,620,303.50",Energy Equities,2006-06-19,0.35%,N/A,$0.35,2019-12-20,$0.10,1.74%,11.41,1.62,58,28.89%,35%,15%,1099,$17.76,$23.89,$19.07,$19.35,35.80,B+,A,A-,B+,C+,C+,A-,3.57,11.18%,14.29%,585.9,0.00%,0.76%
SKYY,First Trust ISE Cloud Computing Index Fund,Equity,"$2,525,390,311.00",9.82%,"172,484",$66.30,-0.29%,No,No,3.31%,4.77%,23.12%,83.40%,140.19%,"$13,223,370.00","$6,666,420.00","$16,240,914.00","$150,668,441.50","$925,994,459.50","$1,075,771,999.13",Technology Equities,2011-07-05,0.60%,N/A,$0.33,2019-12-13,$0.05,0.49%,30.54,1.03,63,37.74%,35%,15%,1099,$63.06,$66.66,$65.99,$66.67,65.20,B-,B,B,A-,B+,C,B,5.79,60.91%,57.65%,18.69,4.20%,8.53%
SOXX,iShares PHLX Semiconductor ETF,Equity,"$2,506,109,709.00",0.89%,"445,446",$253.33,-2.36%,No,No,4.23%,-0.01%,45.05%,100.71%,196.72%,"$142,103,006.00","-$25,658,415.00","$92,524,040.50","$732,530,105.50","$873,335,464.00","$913,029,509.50",Technology Equities,2001-07-10,0.46%,N/A,$3.10,2019-12-16,$0.86,1.20%,23.10,1.44,31,61.28%,35%,15%,1099,$245.85,$265.36,$251.95,$255.78,52.15,B+,A,B+,A,C+,A-,B-,4.61,26.63%,32.20%,70.43,0.00%,6.13%
