Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VHT,Vanguard Healthcare ETF,Equity,"$7,887,472,072.00",-20.28%,"319,753",$152.47,-0.86%,No,No,-3.08%,-21.99%,-10.46%,14.96%,19.66%,"-$66,808,358.37","-$53,886,889.32","-$192,501,639.32","-$343,965,480.76","$1,407,526,703.26","$2,269,972,699.17",Health & Biotech Equities,2004-01-30,0.10%,Vanguard,$2.96,2020-03-10,$0.45,1.92%,25.40,0.94,384,44.78%,35%,15%,1099,$148.58,$199.18,N/A,N/A,36.26,A+,A,A+,A-,B+,A,A+,5.21,59.25%,43.40%,19.61,0.01%,13.55%
XLI,Industrial Select Sector SPDR Fund,Equity,"$7,147,913,071.00",-33.58%,"16,897,624",$54.11,0.07%,No,No,-7.31%,-35.59%,-25.74%,-13.04%,4.27%,"$422,678,081.50","$259,115,675.00","-$620,674,922.50","-$195,916,420.50","-$2,342,328,991.00","-$575,548,561.50",Industrials Equities,1998-12-16,0.13%,N/A,$1.58,2019-12-20,$0.40,2.93%,19.07,1.16,72,42.04%,35%,15%,1099,$50.65,$87.55,N/A,N/A,29.08,A,A+,A,B,A-,A,B,5.97,64.58%,63.25%,166.45,33.22%,1.92%
IBB,iShares Nasdaq Biotechnology ETF,Equity,"$6,419,303,900.00",-16.14%,"3,693,474",$101.06,2.78%,No,No,3.65%,-18.04%,-10.54%,3.37%,-14.60%,"$23,317,787.00","$215,614,560.00","$198,440,970.00","-$1,301,441,303.00","$17,069,616,736.00","$17,907,959,762.50",Health & Biotech Equities,2001-02-05,0.47%,N/A,$0.21,2019-12-16,$0.06,0.21%,24.40,1.38,212,54.86%,35%,15%,1099,$93.82,$128.60,$97.79,$103.66,40.43,B+,A,B,A,C+,C+,A,4.36,30.57%,25.67%,22.33,0.11%,33.53%
XLC,Communication Services Select Sector SPDR Fund,Equity,"$6,278,147,631.00",-21.54%,"5,163,358",$42.08,1.79%,No,No,-0.71%,-26.16%,-10.08%,N/A,N/A,"$746,574,741.50","$136,344,955.00","$309,192,248.50","$1,698,781,615.00","$6,768,089,099.50","$6,768,089,099.50",Large Cap Growth Equities,2018-06-18,0.13%,N/A,$0.44,2019-12-20,$0.12,1.06%,20.90,0.92,27,76.42%,39%,20%,1099,$39.13,$57.83,$40.35,$43.67,35.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5,33.96%,30.32%,17.07,0.00%,0.60%
FDN,First Trust Dow Jones Internet Index,Equity,"$6,262,697,325.00",-17.82%,"448,437",$114.33,3.29%,No,No,1.32%,-26.04%,-18.45%,29.33%,73.52%,"-$246,696,588.00","-$57,588,984.00","-$164,753,094.50","-$660,477,385.00","$1,244,183,398.50","$1,908,963,251.73",Large Cap Growth Equities,2006-06-23,0.52%,N/A,$0.00,2011-12-21,$0.01,0.00%,30.97,1.15,42,53.77%,35%,15%,1099,$104.31,$156.45,$109.38,$118.54,36.98,B+,A,B,A+,B+,C,B,5.63,54.39%,53.04%,16.76,8.88%,3.33%
XLE,Energy Select Sector SPDR Fund,Equity,"$5,690,988,966.00",-57.35%,"25,024,162",$25.61,6.80%,No,No,-13.10%,-53.26%,-58.56%,-57.70%,-59.54%,"$1,515,228,321.50","$781,931,552.00","$1,529,662,030.50","-$439,329,015.50","-$2,108,317,218.00","$2,999,838,980.00",Energy Equities,1998-12-16,0.13%,N/A,$5.23,2019-12-30,$3.58,21.91%,19.73,1.20,28,80.61%,35%,15%,1099,$21.11,$58.25,N/A,N/A,23.40,A,A+,A,B,A,A-,B,5.8,67.46%,58.35%,439.7,0.00%,0.13%
VFH,Vanguard Financials ETF,Equity,"$4,750,390,639.00",-37.56%,"803,994",$47.32,2.89%,No,No,-5.34%,-38.44%,-25.89%,-18.87%,4.91%,"-$249,250,913.76","-$39,112,004.80","-$309,223,754.80","-$383,131,327.68","$557,639,229.18","$2,883,227,266.34",Financials Equities,2004-01-30,0.10%,Vanguard,$1.67,2020-03-10,$0.37,3.61%,14.00,1.12,423,43.17%,35%,15%,1099,$42.92,$79.82,$44.59,$49.08,31.45,A+,A-,A,B,A-,B+,A+,3.86,18.06%,18.10%,24.68,6.97%,0.27%
VDC,Vanguard Consumer Staples ETF,Equity,"$4,531,465,866.00",-15.86%,"216,715",$135.07,-2.76%,No,No,2.97%,-17.40%,-2.09%,2.90%,22.43%,"-$188,813,287.92","$6,943,630.24","-$233,172,869.76","$95,229,491.48","$1,175,162,707.49","$1,982,104,251.88",Consumer Staples Equities,2004-01-30,0.10%,Vanguard,$3.81,2020-03-10,$0.62,2.75%,26.10,0.60,93,66.71%,35%,15%,1099,$130.41,$167.03,N/A,N/A,39.36,A+,A-,A,B+,A+,A+,A-,6.61,69.33%,80.02%,62.95,12.32%,16.79%
SCHH,Schwab US REIT ETF,Real Estate,"$3,951,135,155.00",-36.03%,"1,239,477",$29.40,0.65%,No,No,-15.76%,-39.21%,-30.43%,-21.23%,-17.22%,"$60,750,946.50","-$62,050,008.00","$6,987,465.50","$662,792,211.00","$2,578,138,067.50","$4,239,305,526.50",Real Estate,2011-01-13,0.07%,Charles Schwab,$1.32,2019-12-12,$0.56,4.52%,31.89,0.55,94,46.38%,35%,15%,1099,$28.77,$52.33,$28.25,$30.40,27.98,A,A-,A+,B+,A-,B-,A-,4.32,59.54%,24.89%,94.81,0.00%,13.45%
IYW,iShares U.S. Technology ETF,Equity,"$3,866,120,280.00",-18.55%,"191,415",$189.46,0.98%,No,No,0.23%,-26.61%,0.00%,44.02%,85.10%,"-$71,444,179.00","$1,522,350.00","-$84,631,380.00","-$228,594,468.50","-$783,297,873.00","-$1,160,620,582.00",Technology Equities,2000-05-19,0.42%,N/A,$1.67,2019-12-16,$0.37,0.90%,24.88,1.19,156,66.68%,35%,15%,1099,$177.62,$258.18,$182.36,$196.11,38.37,A-,A,A-,C,A,B+,A,6.44,81.59%,75.67%,20.75,0.72%,5.76%
IHI,iShares U.S. Medical Devices ETF,Equity,"$3,792,546,250.00",-22.41%,"314,032",$205.08,-1.16%,No,No,-4.53%,-25.27%,-10.74%,36.58%,75.43%,"-$83,203,676.50","-$170,253,440.00","-$244,117,495.00","$723,866,994.00","$2,588,692,938.00","$2,682,389,637.50",Health & Biotech Equities,2006-05-05,0.43%,N/A,$0.88,2019-12-30,$0.04,0.42%,44.57,0.92,57,72.84%,35%,15%,1099,$196.97,$278.15,N/A,N/A,33.73,C+,B+,B+,C+,B+,B-,B-,5.06,52.08%,40.43%,22.7,0.00%,12.09%
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Real Estate,"$3,580,288,628.00",-37.76%,"728,705",$36.78,-2.65%,No,No,-19.15%,-37.11%,-32.97%,-19.12%,-16.36%,"-$109,558,433.70","$9,553,000.00","-$45,846,565.13","-$22,841,938.92","$1,642,517,703.51","$3,050,039,762.25",Global Real Estate,2010-11-01,0.12%,Vanguard,$4.48,2019-12-18,$3.65,11.81%,11.30,0.63,599,20.22%,35%,15%,1099,$37.54,$64.42,$35.81,$37.45,13.88,A+,A-,A,A,B,A,A+,4.73,31.44%,34.45%,82.58,1.52%,17.22%
VPU,Vanguard Utilities ETF,Equity,"$3,460,832,472.00",-19.71%,"294,227",$114.00,-4.73%,No,No,-3.77%,-26.01%,-8.33%,11.09%,36.71%,"-$51,832,449.20","-$13,181,948.68","-$194,444,198.68","$397,799,679.54","$1,226,718,484.97","$1,416,610,827.26",Utilities Equities,2004-01-30,0.10%,Vanguard,$3.97,2020-03-10,$0.88,3.32%,23.10,0.19,67,55.52%,35%,15%,1099,$111.11,$161.71,$112.13,$117.23,35.57,A+,A,A,A-,A-,A,A-,7.44,72.22%,92.05%,2613.36,59.83%,6.80%
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"$3,304,595,018.00",-38.90%,"21,754,170",$25.82,3.90%,No,No,4.66%,-41.00%,-21.64%,-28.16%,19.17%,"-$205,337,556.50","-$261,981,516.00","-$184,647,691.50","-$289,887,757.50","-$997,038,668.00","$2,239,163,325.90",Materials,2009-11-10,0.54%,N/A,$0.16,2019-12-23,$0.16,0.61%,33.19,-0.13,67,47.43%,35%,15%,1099,$22.76,$49.41,$22.64,$30.40,37.38,B,A,B+,C,C,A-,B+,4.98,23.66%,38.99%,542.56,5.57%,0.00%
AMLP,Alerian MLP ETF,Equity,"$2,948,563,898.00",-61.10%,"33,354,844",$3.23,14.54%,No,No,-15.89%,-58.16%,-65.06%,-67.39%,-70.38%,"-$322,134,694.00","$28,447,668.00","-$35,350,529.00","-$318,437,245.50","$248,535,876.50","$4,137,359,966.59",MLPs,2010-08-24,0.85%,N/A,$0.77,2020-02-13,$0.19,27.80%,10.57,1.03,21,83.36%,35%,15%,1099,$2.35,$8.69,$2.76,$3.58,24.12,A,A+,A-,C+,A-,B+,B+,1.8,4.86%,2.37%,444.66,0.00%,0.00%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$2,821,835,406.00",-31.55%,"9,018,609",$63.71,0.05%,No,No,-14.79%,-36.30%,-23.15%,-9.72%,-4.33%,"-$108,735,508.00","-$39,495,193.00","-$68,010,611.50","-$1,107,068,736.00","-$926,569,560.00","-$2,041,698,271.00",Real Estate,2000-06-12,0.42%,Fidelity,$2.84,2019-12-16,$0.89,4.45%,33.81,0.56,114,44.49%,35%,15%,1099,$63.09,$107.81,$61.27,$65.70,29.35,A,A+,B,B-,A,B+,A,4.45,68.79%,27.44%,115.15,0.69%,9.05%
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$2,805,071,552.00",-40.38%,"1,195,913",$19.99,4.22%,No,No,-5.31%,-37.22%,-37.73%,-26.80%,-23.16%,"-$689,491,840.50","-$302,846,056.50","-$557,127,150.00","-$932,819,024.00","$79,908,668.00","$1,754,258,480.78",Commodity Producers Equities,2011-09-16,0.46%,N/A,$1.09,2019-12-20,$0.21,5.56%,21.41,0.90,117,35.43%,35%,15%,1099,$18.07,$33.81,$19.02,$20.65,28.50,A,A,A-,A-,A-,B,A,5.22,38.46%,43.72%,518.2,12.13%,4.63%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$2,750,738,117.00",-25.55%,"7,295,382",$28.79,-1.57%,No,No,-11.31%,-30.98%,-16.44%,1.70%,N/A,"-$52,302,038.50","-$8,222,036.00","$58,848,431.50","$312,006,071.00","$754,136,768.50","$3,286,928,537.50",Real Estate,2015-10-07,0.13%,N/A,$1.18,2019-12-20,$0.41,4.05%,37.95,0.59,32,65.50%,39%,20%,1099,$28.42,$44.36,$28.01,$29.55,33.02,N/A,N/A,A,N/A,N/A,N/A,C+,6.22,99.42%,70.56%,139.31,0.00%,10.44%
XBI,SPDR S&P Biotech ETF,Equity,"$2,712,499,944.00",-26.25%,"6,615,373",$70.14,5.76%,No,No,-0.90%,-28.29%,-22.35%,-0.79%,-7.95%,"-$507,045,517.75","-$394,634,734.50","-$486,047,431.75","-$721,767,352.75","-$379,610,245.75","$691,465,148.25",Health & Biotech Equities,2006-02-06,0.35%,N/A,$0.00,2019-12-20,$0.00,0.01%,17.99,1.68,123,23.76%,35%,15%,1099,$63.20,$104.19,$66.56,$72.40,35.65,B-,A,A-,B,C,C,B+,2.46,14.72%,5.30%,26.59,0.27%,19.78%
IGV,iShares Expanded Tech-Software Sector ET,Equity,"$2,674,457,500.00",-16.68%,"804,437",$194.18,2.61%,No,No,1.17%,-26.39%,-7.36%,53.51%,101.81%,"$415,658,431.50","$157,176,100.00","$55,072,550.00","$353,470,470.50","$1,443,757,233.00","$821,445,809.50",Technology Equities,2001-07-10,0.46%,N/A,$0.05,2019-06-17,$0.05,0.02%,40.71,1.14,103,59.16%,35%,15%,1099,$178.97,$267.19,$185.86,$200.87,38.14,B+,A-,B+,B,A-,C+,B+,7.21,94.62%,88.98%,13.87,0.00%,5.84%
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$2,625,236,460.00",-43.47%,"342,573",$125.55,1.73%,No,No,-15.26%,-46.45%,-35.63%,-14.70%,6.49%,"-$727,753,882.00","-$418,758,175.00","-$661,441,210.00","-$821,359,817.50","$458,486,065.00","$2,225,698,128.00",Industrials Equities,2006-05-05,0.42%,N/A,$3.41,2019-12-30,$0.57,2.76%,21.25,1.03,34,72.91%,35%,15%,1099,$114.69,$252.04,N/A,N/A,22.64,B,B+,B+,A,A,B-,C+,4.32,27.08%,25.00%,93.21,75.03%,0.21%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$2,623,571,799.00",-20.07%,"666,534",$57.93,0.19%,No,No,-0.97%,-27.68%,-0.65%,45.27%,87.41%,"$136,941,308.00","-$76,707,367.00","-$136,453,559.00","$546,055,719.50","$1,483,729,759.50","$1,847,611,229.00",Technology Equities,2013-10-21,0.08%,Fidelity,$0.75,2019-12-20,$0.19,1.31%,24.93,1.20,319,60.33%,35%,15%,1099,$54.77,$80.14,$55.69,$60.01,37.56,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.17,71.67%,69.37%,22.31,0.77%,5.21%
XLB,Materials Select Sector SPDR ETF,Equity,"$2,591,623,068.00",-31.31%,"9,521,943",$42.19,2.55%,No,No,-2.92%,-30.40%,-22.60%,-14.80%,-6.67%,"-$85,721,490.50","-$223,631,250.50","-$373,248,115.00","-$1,039,130,781.00","-$499,224,777.50","$106,687,657.26",Materials,1998-12-16,0.13%,N/A,$1.21,2019-12-20,$0.33,2.94%,20.38,1.16,29,68.79%,35%,15%,1099,$38.56,$62.96,$40.22,$43.50,33.06,A,A+,A,B+,A+,B+,B-,5.96,60.29%,63.00%,860.88,3.14%,1.84%
IXN,iShares Global Tech ETF,Equity,"$2,525,941,320.00",-20.37%,"131,873",$167.62,0.87%,No,No,-1.93%,-26.80%,0.16%,39.68%,78.91%,"-$134,696,770.50","-$17,400,810.00","-$15,395,820.00","-$241,867,758.00","$1,006,706,270.50","$985,659,338.50",Technology Equities,2001-11-12,0.46%,N/A,$2.23,2019-12-16,$1.15,1.34%,22.90,1.15,119,56.89%,35%,15%,1099,$159.58,$230.67,$162.30,$172.49,37.99,B+,B+,B+,C+,A,B,A-,6.54,86.69%,77.78%,31.46,0.78%,5.37%
IGF,iShares Global Infrastructure ETF,Equity,"$2,445,917,544.00",-36.11%,"488,234",$30.61,-0.52%,No,No,-9.46%,-38.37%,-29.36%,-18.85%,-14.78%,"$340,682,481.00","$56,824,508.00","$203,532,996.00","$785,801,497.00","$2,046,476,365.00","$2,333,794,035.00",Large Cap Value Equities,2007-12-10,0.46%,N/A,$1.57,2019-12-16,$0.78,5.09%,22.30,0.55,75,42.53%,35%,15%,1099,$28.92,$53.73,$29.92,$31.22,25.38,A-,A-,B,A-,B+,A-,A,7.02,81.55%,86.50%,977.01,31.45%,2.65%
VIS,Vanguard Industrial ETF,Equity,"$2,151,780,592.00",-34.19%,"157,060",$100.73,1.33%,No,No,-7.71%,-36.24%,-25.70%,-14.89%,1.59%,"-$284,812,455.98","$33,658,785.60","-$222,467,714.40","-$423,307,322.77","-$138,738,126.64","$341,716,431.79",Industrials Equities,2004-09-23,0.10%,Vanguard,$2.56,2020-03-10,$0.66,2.57%,21.60,1.18,352,32.95%,35%,15%,1099,$93.79,$164.98,N/A,N/A,28.67,A+,A,A,A-,A-,A,A+,5.75,56.25%,56.88%,173.31,27.77%,2.53%
KWEB,KraneShares CSI China Internet ETF,Equity,"$2,097,518,971.00",-14.89%,"2,939,200",$41.43,1.99%,No,No,-4.45%,-20.28%,-10.24%,2.15%,36.32%,"$637,343,709.00","-$74,013,060.00","$2,179,380.50","$400,253,243.50","$2,271,369,126.50","$2,400,788,259.00",China Equities,2013-07-31,0.76%,N/A,$0.04,2019-12-27,$0.04,0.10%,23.76,1.45,46,61.49%,35%,15%,1099,$40.09,$54.13,$40.33,$42.40,37.30,B+,B+,B,B-,A-,B-,N/A,2.89,5.38%,7.59%,19.68,0.00%,0.90%
QTEC,First Trust NASDAQ 100 Technology,Equity,"$1,937,409,807.00",-23.59%,"307,747",$76.49,2.25%,No,No,-1.47%,-29.06%,-6.30%,30.31%,81.06%,"-$354,500,448.00","-$288,956,894.00","-$365,358,632.00","-$319,645,245.00","-$464,963,009.50","$732,313,606.00",Technology Equities,2006-04-25,0.57%,N/A,$0.68,2019-12-13,$0.22,0.91%,25.89,1.30,42,29.79%,35%,15%,1099,$70.51,$108.65,$73.20,$79.14,36.85,B,B+,B-,B,A-,B+,B,5.29,39.94%,45.02%,33.73,0.00%,5.56%
VCR,Vanguard Consumer Discretionary ETF,Equity,"$1,915,141,995.00",-29.98%,"118,079",$132.38,4.12%,No,No,-8.01%,-35.11%,-21.27%,-0.17%,15.25%,"-$321,568,935.51","-$191,466,250.00","-$328,265,342.25","-$262,086,945.58","-$141,289,051.80","-$102,292,124.94",Consumer Discretionary Equities,2004-01-30,0.10%,Vanguard,$2.16,2020-03-10,$0.37,1.70%,24.90,1.10,294,61.80%,35%,15%,1099,$122.36,$210.97,$124.27,$138.39,30.13,A+,A-,A+,A-,A,A-,A+,4.59,37.61%,32.04%,53.87,26.12%,2.44%
SKYY,First Trust ISE Cloud Computing Index Fund,Equity,"$1,907,659,237.00",-17.97%,"326,352",$49.52,2.38%,No,No,3.15%,-27.32%,-14.00%,30.22%,71.53%,"$45,537,511.00","$6,669,121.00","-$11,650,983.50","$106,881,425.50","$910,846,961.00","$1,092,015,443.13",Technology Equities,2011-07-05,0.60%,N/A,$0.33,2019-12-13,$0.05,0.67%,30.54,1.03,62,40.98%,35%,15%,1099,$44.38,$68.30,$47.48,$51.22,36.69,B-,B,B,A-,B+,C,B,6.25,73.94%,71.32%,19.58,4.44%,8.40%
SOXX,iShares PHLX Semiconductor ETF,Equity,"$1,906,439,480.00",-27.58%,"769,634",$181.84,2.57%,No,No,-3.85%,-31.33%,-2.77%,38.38%,98.75%,"$300,869,040.50","$233,389,525.00","$158,002,460.00","$956,145,857.00","$991,502,782.50","$1,072,733,544.00",Technology Equities,2001-07-10,0.46%,N/A,$3.10,2019-12-16,$0.86,1.76%,23.10,1.44,31,62.25%,35%,15%,1099,$172.43,$267.02,$172.32,$189.43,37.37,B+,A,B+,A,C+,A-,B-,4.58,24.36%,31.82%,69.45,0.00%,5.97%
IYH,iShares U.S. Healthcare ETF,Equity,"$1,881,369,385.00",-19.81%,"81,756",$172.98,-1.10%,No,No,-3.27%,-21.24%,-10.09%,14.34%,18.53%,"$106,568,666.00","$39,940,745.00","$74,662,710.00","-$269,896,347.00","-$154,422,314.00","-$578,220,405.50",Health & Biotech Equities,2000-06-12,0.43%,N/A,$2.45,2019-12-16,$0.64,1.40%,28.46,0.91,120,48.02%,35%,15%,1099,$169.11,$223.36,N/A,N/A,36.20,A-,B+,B,B+,B+,B+,A,5.28,63.02%,44.88%,19.49,0.00%,14.01%
SMH,VanEck Vectors Semiconductor ETF,Equity,"$1,854,227,082.00",-27.26%,"5,041,560",$102.86,1.77%,No,No,-5.29%,-31.36%,-1.72%,36.59%,95.13%,"$786,069,042.50","$441,050,771.00","$471,379,336.00","$1,250,812,724.50","$1,349,776,982.00","$1,257,433,919.11",Technology Equities,2011-12-20,0.35%,N/A,$2.12,2019-12-23,$2.12,2.11%,24.52,1.39,26,66.80%,35%,15%,1099,$98.85,$151.71,N/A,N/A,36.65,A-,A,A,A-,B,A,C,5.56,50.14%,51.26%,85.65,0.00%,5.97%
IXJ,iShares Global Healthcare ETF,Equity,"$1,782,873,580.00",-18.72%,"164,158",$55.88,-0.25%,No,No,-1.91%,-20.46%,-7.61%,14.17%,11.84%,"$77,475,023.00","$19,779,612.00","$66,740,024.00","-$144,826,642.00","$1,770,945,346.00","$1,662,312,925.50",Health & Biotech Equities,2001-11-13,0.46%,N/A,$0.98,2019-12-16,$0.48,1.74%,27.75,0.81,105,39.49%,35%,15%,1099,$54.21,$71.62,$54.88,$56.88,36.51,A-,B+,B,B,A,B,A,5.85,81.51%,59.80%,22.32,1.36%,13.70%
